time,open,high,low,close,tick_volume,tick_volume,spread
2025-10-24 13:20:00+00:00,4058.89,4059.23,4055.63,4055.8,1444,0,8
2025-10-24 13:25:00+00:00,4055.8,4058.85,4054.81,4056.8,1437,0,5
2025-10-24 13:30:00+00:00,4056.75,4060.42,4055.19,4060.27,1402,0,2
2025-10-24 13:35:00+00:00,4060.27,4060.36,4054.66,4055.72,818,0,17
2025-10-24 13:40:00+00:00,4055.72,4058.63,4054.98,4058.53,1051,0,1
2025-10-24 13:45:00+00:00,4058.45,4065.59,4057.9,4065.59,1412,0,13
2025-10-24 13:50:00+00:00,4065.31,4065.6,4060.08,4060.22,1555,0,1
2025-10-24 13:55:00+00:00,4060.22,4061.73,4058.69,4061.52,1459,0,11
2025-10-24 14:00:00+00:00,4061.47,4064.75,4060.69,4063.42,1716,0,8
2025-10-24 14:05:00+00:00,4063.51,4065.53,4059.95,4064.57,1844,0,9
2025-10-24 14:10:00+00:00,4064.56,4064.86,4061.57,4062.32,1686,0,6
2025-10-24 14:15:00+00:00,4062.39,4064.62,4061.43,4062.75,1193,0,14
2025-10-24 14:20:00+00:00,4062.75,4064.18,4060.58,4062.9,1477,0,18
2025-10-24 14:25:00+00:00,4062.9,4063.21,4060.06,4061.56,1041,0,18
2025-10-24 14:30:00+00:00,4061.52,4094.07,4061.13,4090.38,3701,0,1
2025-10-24 14:35:00+00:00,4090.47,4091.96,4076.44,4080.68,3441,0,8
2025-10-24 14:40:00+00:00,4080.69,4086.33,4076.34,4083.36,2456,0,32
2025-10-24 14:45:00+00:00,4083.21,4084.64,4074.61,4075.77,2236,0,21
2025-10-24 14:50:00+00:00,4075.66,4083.71,4074.5,4081.89,2302,0,13
2025-10-24 14:55:00+00:00,4081.91,4082.45,4076.64,4082.25,2119,0,15
2025-10-24 15:00:00+00:00,4082.25,4091.39,4079.04,4088.92,2812,0,7
2025-10-24 15:05:00+00:00,4089.04,4112.51,4089.04,4111.22,3383,0,1
2025-10-24 15:10:00+00:00,4111.13,4115.42,4105.96,4111.83,2826,0,15
2025-10-24 15:15:00+00:00,4111.85,4121.67,4109.47,4118.57,2746,0,12
2025-10-24 15:20:00+00:00,4118.6,4122.25,4113.71,4115.11,2700,0,23
2025-10-24 15:25:00+00:00,4115.07,4119.1,4112.18,4114.28,1913,0,5
2025-10-24 15:30:00+00:00,4114.07,4120.18,4110.21,4117.72,3099,0,1
